Landmark,RL,AP,SI
T4L~,-30.3739060453,-66.5681257354,-38.7228524397
T4R~,16.8219107863,-64.751708369,-36.0936660057
T5L~,-30.5042728694,-72.5210479743,-57.3277450579
T5R~,21.0714511859,-69.9130856715,-55.0410260187
T6L~,-29.0771430972,-78.6070650831,-76.4572889824
T6R~,22.3300161211,-76.7376449429,-76.9215802086
T7L~,-27.8845005505,-79.8071142289,-101.089258804
T7R~,19.4621147338,-80.3652742885,-104.371725214
T8L~,-29.2635078297,-79.7298103245,-124.260483295
T8R~,19.6167655742,-77.8678495771,-130.546218159
T9L~,-33.1610312829,-75.849150073,-149.95179703
T9R~,14.3755450126,-73.3891582453,-154.284721011
T10L~,-33.428803947,-71.9397779554,-172.891756157
T10R~,12.3647771523,-70.6713076831,-174.340263696
T11L~,-31.2720499413,-64.3887301199,-192.530089796
T11R~,6.73021730986,-64.9728358834,-197.09578153
T12L~,-29.9123550049,-54.0570030322,-220.225511574
T12R~,1.65383965835,-54.4895794167,-225.146398682
L1L~,-42.8820386853,-46.0957683807,-243.339179756
L1R~,9.21236964833,-39.9205287397,-249.054600943
L2L~,-50.0698967477,-39.718568244,-268.374280035
L2R~,9.61689891196,-32.2768818035,-276.731826804
TrXFiducials027~,,,
T1L~,-19.9477262148,64.1827434187,77.1039304744
T1R~,41.4434386765,41.244638246,76.1576804586
T2L~,-22.4718556938,51.4722540208,63.6083846868
T2R~,34.6361901393,29.8256584497,63.4977904357
T3L~,-27.3250115856,42.4135687127,47.3628253172
T3R~,29.9799569161,20.0750317188,43.3834472214
T4L~,-31.3755053749,32.6953488657,31.980465918
T4R~,23.4802720545,10.8340889169,28.2820960081
T5L~,-35.74058923,23.8989223027,16.5088726244
T5R~,16.2821613364,3.29506840496,8.79936773238
T6L~,-41.721911786,17.3471498896,-0.204277324856
T6R~,7.31781214025,-4.13035548968,-9.07672687257
T7L~,-47.420132082,13.9304950611,-15.4379928304
T7R~,1.57642799619,-9.70420555884,-29.3283922725
T8L~,-54.7656732465,5.84547293715,-32.1383098594
T8R~,-6.38464235691,-16.3340759843,-47.2786310493
T9L~,-64.7775035767,1.59729957918,-49.3137314641
T9R~,-19.694472228,-17.759737698,-64.9977673539
T10L~,-70.8408284288,-1.69564705969,-68.2827655853
T10R~,-31.3683594592,-21.4867297489,-84.066607357
T11L~,-76.7799820097,-4.3416651041,-87.0796506803
T11R~,-38.7326258042,-21.5876951384,-100.564090191
T12L~,-87.0258722277,-3.18272944742,-113.629178597
T12R~,-52.6429363613,-21.1968783547,-123.861744054
L1L~,-101.807528971,-7.28851289274,-137.090646429
L1R~,-50.2711426757,-21.1224595838,-152.664134306
L2L~,-110.681507849,-7.79312755275,-161.974952121
L2R~,-53.9685931942,-22.5084343224,-175.681142914
L3L~,-121.812382475,-7.73328532067,-196.5411134
L3R~,-50.6481206376,-24.3999957087,-201.115039496
L4L~,-121.351528491,-3.22862329934,-226.423340056
L4R~,-52.7473585372,-11.3325171573,-225.727637917
L5L~,-122.723393583,3.64105220135,-260.757501011
L5R~,-47.3051436842,-6.25817338389,-253.970167895
TrXFiducials028~,,,
T3L~,-56.335282889,-58.3253337944,352.794141767
T3R~,6.96712972255,-58.6923537972,355.899317223
T4L~,-53.7784158144,-60.8899133195,327.250310413
T4R~,4.85848111093,-61.864454775,337.66153006
T5L~,-50.4554061284,-59.6202828496,300.443942666
T5R~,6.65888005361,-65.0307591318,313.683700289
T6L~,-44.6810060547,-54.2050135847,275.925691838
T6R~,12.959076613,-67.1040219524,288.597848297
T7L~,-40.7970167573,-52.5221052994,254.631049044
T7R~,21.0558808435,-68.1578363079,261.162470724
T8L~,-40.3402177492,-46.911118153,235.832249251
T8R~,26.8121239436,-69.884201684,236.175207147
T9L~,-37.663211539,-43.2463753616,215.406159394
T9R~,28.7840631702,-60.1877483277,208.662306958
T10L~,-33.2909149841,-48.4992454759,192.663964391
T10R~,19.2365553313,-62.3559732318,183.484849163
T11L~,-38.3979834148,-47.4699887083,165.593104785
T11R~,18.1150228381,-52.0989339125,155.657117573
T12L~,-35.1158242531,-48.927983327,131.17554951
T12R~,9.45555945932,-51.5668394189,125.662112425
L1L~,-52.5175928786,-49.6018729619,100.631038175
L1R~,29.3774699402,-48.1151211016,98.2122639056
L2L~,-52.7019599572,-54.4788509771,68.6569341705
L2R~,24.6517286325,-46.8649813411,62.4418358882
L3L~,-54.7770620121,-50.5660252583,25.72611898
L3R~,30.9351802009,-44.1044450615,20.6692624116
TrXFiducials015~,,,
T8L~,-34.2602631992,-54.8641897811,222.507190258
T8R~,15.2439643253,-55.9533374664,218.129450816
T9L~,-34.2155390127,-53.4951099511,202.548573841
T9R~,12.3542681522,-52.6336026921,189.63340285
T10L~,-36.8813424709,-51.9073776534,182.572042607
T10R~,6.12650286305,-43.9604668888,169.37012443
T11L~,-38.2046324809,-46.7031120496,156.548606463
T11R~,0.29651630124,-34.2446676928,145.084440821
T12L~,-41.228539927,-44.6115472383,129.350284256
T12R~,-5.01659172178,-30.05191456,123.504054578
L1L~,-53.4459030468,-44.1940720889,100.095965036
L1R~,-3.82282370755,-15.7930077584,98.30091098
L2L~,-54.843335754,-36.9505422338,64.2457777471
L2R~,1.9905734549,-12.8318207555,75.8209439277
TrXFiducials016~,,,
T2L~,-14.567635703,-26.8994513339,338.930190839
T2R~,47.5012389506,-26.7402553298,351.732295072
T3L~,-4.81234907432,-26.9992073681,313.34287339
T3R~,50.2144575908,-27.0727507396,329.040819628
T4L~,1.1509017677,-27.3179864318,294.377167311
T4R~,53.8599424662,-26.1855424794,309.67926078
T5L~,7.60217717835,-19.8479064003,273.845423374
T5R~,65.1534178968,-26.6551849673,290.942414587
T6L~,11.4505599295,-16.0292092795,255.911128464
T6R~,72.2682751623,-25.6613023393,270.128953023
T7L~,17.1170345477,-8.53665561606,236.38549258
T7R~,77.9779678552,-26.2857007531,246.409136608
T8L~,18.289958204,-6.27652713914,217.043857029
T8R~,78.9192653886,-23.2934235237,220.409509166
T9L~,22.7714144632,-3.50795004659,196.861925982
T9R~,73.1680597277,-18.9274918235,191.116142083
T10L~,23.9597606181,1.92089626095,180.482729811
T10R~,70.7569788157,-13.9969812701,169.011968018
T11L~,22.7273779583,5.07139607326,153.878884445
T11R~,65.2751128466,-2.4040746123,143.719118013
T12L~,18.2449118971,9.10781793745,127.104202095
T12R~,54.5996003722,3.81037044121,116.287513881
L1L~,0.792922057397,22.9728253502,101.624930633
L1R~,64.0887127305,13.6299336022,90.4129179932
L2L~,-15.1923600076,19.8094177565,80.1946866076
L2R~,65.9594914316,19.2635681235,65.6815715496
L3L~,-25.5182414658,22.0396803719,49.4278436585
L3R~,64.9731885907,22.3738015493,39.7770327826
L4L~,-16.5219026682,22.8255427808,16.3295350642
L4R~,51.1026600522,22.9775857446,11.2230048898
TrXFiducials019~,,,
T3L~,-31.2930311055,-66.1662183894,338.333724451
T3R~,23.3272215161,-58.6039232385,344.829167761
T4L~,-26.9855917359,-66.5923708372,313.942220893
T4R~,23.6104118314,-60.827618546,326.665959419
T5L~,-22.8312127477,-64.8161606758,292.27053897
T5R~,30.5880569536,-62.6668552583,309.208796534
T6L~,-16.3542284858,-56.5947304651,270.060320331
T6R~,37.2075638124,-65.7569737139,287.090678524
T7L~,-9.27266605097,-50.0592246153,250.127972378
T7R~,42.109872208,-64.8239053911,263.748472419
T8L~,-6.42320329013,-48.1914746783,234.812026694
T8R~,47.8137636212,-60.8290790035,235.91976984
T9L~,-2.16183280555,-40.9520195976,218.332604826
T9R~,49.8457237744,-51.658128114,211.632118478
T10L~,-3.40047550566,-38.3780214849,200.141017229
T10R~,45.9247278135,-44.8605118627,184.313676029
T11L~,-5.53585897141,-31.6780706723,174.980032412
T11R~,41.7416559412,-33.6444840056,164.216404333
T12L~,-8.79228089169,-24.600946744,145.797419041
T12R~,32.7631819881,-26.4402975482,137.33202494
L1L~,-18.4269698792,-16.9997167434,120.627854182
L1R~,38.6385800053,-12.0824724698,112.173196711
L2L~,-27.3058112079,-14.8703904817,91.2333685645
L2R~,40.0927374995,-7.04951249372,85.2525640026
TrXFiducials020~,,,
T3L~,-54.6482322886,-73.6075332381,359.410150033
T3R~,0.00228962885801,-63.3736882011,360.568296884
T4L~,-52.9269101289,-75.33953035,329.723913009
T4R~,-2.23250601661,-65.5133761559,343.988341223
T5L~,-50.8856099775,-71.7992872354,309.853758786
T5R~,0.646506605131,-67.9072973944,323.214750734
T6L~,-44.5942337024,-63.8818213031,283.385868399
T6R~,9.46778062895,-70.8345620306,298.976107017
T7L~,-38.7074860118,-59.1114781863,264.736731091
T7R~,11.2674305793,-70.5401181198,270.349569764
T8L~,-38.0799113218,-52.6871376091,249.438844026
T8R~,13.1323958447,-67.1022096717,240.690267121
